Chemical Name	Chemical ID	CAS RN	Gene Symbol	Gene ID	Interaction	Interaction Actions	Reference Count	Organism Count
bisphenol A	C006780	80-05-7	A1BG	1	bisphenol A results in increased expression of A1BG mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	A2M	2	bisphenol A affects the expression of A2M mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	A2M	2	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of A2M mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	AAAS	8086	[bisphenol A co-treated with Fulvestrant] results in increased methylation of AAAS gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	AAAS	8086	bisphenol A results in decreased methylation of AAAS gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	AAAS	8086	bisphenol A results in increased expression of AAAS protein	increases^expression	1	1
bisphenol A	C006780	80-05-7	AADAC	13	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of AADAC gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	AADACP1	201651	bisphenol A results in decreased methylation of AADACP1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	AAK1	22848	bisphenol A affects the expression of AAK1 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	AAK1	22848	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of AAK1 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	AAK1	22848	bisphenol A results in decreased expression of AAK1 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	AAK1	22848	bisphenol A results in decreased methylation of AAK1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	AAMDC	28971	bisphenol A affects the expression of AAMDC mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	AAMDC	28971	bisphenol A results in decreased expression of AAMDC mRNA	decreases^expression	1	1
