Gene_id	Gene_symbol	Organism
UniProtKB:Q9H3U7	SMOC2	NCBITaxon:9606
UniProtKB:Q8NC24	RELL2	NCBITaxon:9606
UniProtKB:O95967	EFEMP2	NCBITaxon:9606
UniProtKB:O75445	USH2A	NCBITaxon:9606
UniProtKB:Q9UMD9	COL17A1	NCBITaxon:9606
UniProtKB:Q9Y5L3	ENTPD2	NCBITaxon:9606
UniProtKB:P62736	ACTA2	NCBITaxon:9606
UniProtKB:P20908	COL5A1	NCBITaxon:9606
UniProtKB:P25067	COL8A2	NCBITaxon:9606
UniProtKB:P25067	COL8A2	NCBITaxon:9606
UniProtKB:Q9UJW2	TINAG	NCBITaxon:9606
UniProtKB:Q9Y215	COLQ	NCBITaxon:9606
UniProtKB:Q14031	COL4A6	NCBITaxon:9606
UniProtKB:Q14031	COL4A6	NCBITaxon:9606
UniProtKB:Q14031	COL4A6	NCBITaxon:9606
UniProtKB:P39060	COL18A1	NCBITaxon:9606
UniProtKB:P39059	COL15A1	NCBITaxon:9606
UniProtKB:P39059	COL15A1	NCBITaxon:9606
UniProtKB:Q16363	LAMA4	NCBITaxon:9606
UniProtKB:P35555	FBN1	NCBITaxon:9606
UniProtKB:O14936	CASK	NCBITaxon:9606
UniProtKB:O14936	CASK	NCBITaxon:9606
UniProtKB:P35443	THBS4	NCBITaxon:9606
UniProtKB:P35442	THBS2	NCBITaxon:9606
UniProtKB:Q9H4F8	SMOC1	NCBITaxon:9606
UniProtKB:P03950	ANG	NCBITaxon:9606
UniProtKB:P55268	LAMB2	NCBITaxon:9606
UniProtKB:P55268	LAMB2	NCBITaxon:9606
UniProtKB:P55268	LAMB2	NCBITaxon:9606
UniProtKB:P55268	LAMB2	NCBITaxon:9606
UniProtKB:P55268	LAMB2	NCBITaxon:9606
UniProtKB:P55268	LAMB2	NCBITaxon:9606
UniProtKB:Q14118	DAG1	NCBITaxon:9606
UniProtKB:Q14118	DAG1	NCBITaxon:9606
