Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
MYL7	"MYL2A, MYLC2A"	ENSG00000106631	"Myosin light chain 7"	Q01449	7	44138864-44141332	"Predicted intracellular proteins"		"Motor protein, Muscle protein, Myosin"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	1061	"heart muscle: 23165.6"	"Cell type enriched"	"Detected in some"	45	"Cardiomyocytes: 8539.0"	"Cancer enriched"	"Detected in some"	7	"testis cancer: 3.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"testis cancer: 47.6;Uterine cancer: 12.5"	"Heart muscle - Cardiomyocytes"	"Not detected"	"Not detected"							"HPA013331, CAB033884, HPA039262"	Enhanced					NA	NA				"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 10: Ovarian & Endometrial cancers - Unknown function"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"CAB033884: AB_2266773, HPA013331: AB_1854245, HPA039262: AB_2676418"	"unprognostic (1.00e-2)"	"unprognostic (7.99e-2)"		"unprognostic (4.36e-3)"	"unprognostic (2.31e-1)"	"unprognostic (2.51e-1)"				"unprognostic (1.28e-1)"	"unprognostic (7.85e-2)"				"unprognostic (1.67e-1)"		"unprognostic (7.28e-2)"
NPPA	"ANP, PND"	ENSG00000175206	"Natriuretic peptide A"	P01160	1	11845709-11848345	"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Hormone, Vasoactive, Vasodilator"	"Atrial fibrillation, Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	873	"heart muscle: 60060.6"	"Cell type enriched"	"Detected in some"	41	"Cardiomyocytes: 18703.1"	"Cancer enriched"	"Detected in some"	9	"glioma: 7.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"lung cancer: 7.4"		"Region enriched"	"Detected in some"	7	"olfactory bulb: 22.8"	"Low region specificity"	"Detected in all"			"HPA058269, HPA064007"	Enhanced				"Secreted to blood"	NA	NA		1200000		"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA058269: AB_2683660, HPA064007: "	"unprognostic (1.27e-3)"	"unprognostic (3.12e-2)"	"unprognostic (2.15e-1)"	"unprognostic (1.30e-1)"	"unprognostic (1.94e-1)"	"unprognostic (1.95e-1)"	"unprognostic (2.02e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.48e-1)"	"unprognostic (3.25e-2)"	"unprognostic (9.72e-3)"	"unprognostic (2.21e-1)"	"unprognostic (5.93e-4)"	"unprognostic (2.31e-1)"	"unprognostic (1.59e-1)"	"unprognostic (1.20e-1)"	"unprognostic (6.70e-2)"
NPPB		ENSG00000120937	"Natriuretic peptide B"	P16860	1	11857464-11858945	"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"		"Hormone, Vasoactive, Vasodilator"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	767	"heart muscle: 5154.6"	"Cell type enhanced"	"Detected in some"		"Cardiomyocytes: 364.1;Ductal cells: 320.4;Exocrine glandular cells: 1336.6;Pancreatic endocrine cells: 334.9;Sertoli cells: 295.8"	"Cancer enhanced"	"Detected in some"		"testis cancer: 2.2"	"Group enriched"	"Detected in some"	4	"basal ganglia: 3.4;cerebral cortex: 1.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 86.4;testis cancer: 67.7"		"Region enhanced"	"Detected in single"		"pons and medulla: 1.4"					HPA077324			Approved	Vesicles,Cytosol	"Secreted to blood"	NA	NA	9680			"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 74: Pancreatic cells - Mixed function"	Vesicles	Cytosol	"HPA077324: "				"unprognostic (3.87e-1)"	"unprognostic (1.29e-2)"					"unprognostic (2.49e-1)"	"unprognostic (4.23e-1)"				"unprognostic (3.28e-2)"		
TNNI3	"CMD2A, CMH7, TNNC1"	ENSG00000129991	"Troponin I3, cardiac type"	P19429	19	55151767-55157773	"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Actin-binding, Muscle protein"	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	622	"heart muscle: 10813.5"	"Cell type enriched"	"Detected in many"	11	"Cardiomyocytes: 10855.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Cardiomyocytes, Lung - Respiratory ciliated cells, Skeletal muscle - Skeletal myocytes, Testis - Late spermatids"	"Region enhanced"	"Detected in many"		"olfactory bulb: 10.9"	"Low region specificity"	"Detected in many"			"CAB009349, HPA046428"	Enhanced		Approved	Vesicles,Cytosol		NA	NA		2400000		"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Cytosol	Vesicles	"CAB009349: AB_793465, HPA046428: AB_2679661"	"unprognostic (2.12e-2)"	"unprognostic (3.05e-2)"	"unprognostic (2.44e-2)"	"unprognostic (1.36e-1)"	"unprognostic (2.08e-2)"	"unprognostic (2.81e-2)"	"unprognostic (1.37e-3)"	"unprognostic (2.13e-1)"	"unprognostic (9.62e-3)"	"unprognostic (9.40e-2)"	"unprognostic (3.34e-2)"	"unprognostic (2.17e-3)"	"unprognostic (4.02e-3)"	"unprognostic (8.89e-2)"	"unprognostic (8.54e-2)"	"unprognostic (1.05e-1)"	"unprognostic (9.82e-2)"
MYBPC3	"CMH4, cMyBP-C, FHC"	ENSG00000134571	"Myosin binding protein C3"	Q14896	11	47331406-47352702	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"	"Actin-binding, Muscle protein"	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	584	"heart muscle: 1725.4"	"Cell type enriched"	"Detected in some"	72	"Cardiomyocytes: 2048.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes, Testis - Late spermatids"	"Region enriched"	"Detected in some"	33	"cerebellum: 34.4"	"Low region specificity"	"Detected in many"			"HPA040147, HPA043898"	Enhanced					NA	NA		21000		"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA040147: AB_2676861, HPA043898: AB_2678720"	"unprognostic (1.06e-1)"	"unprognostic (1.47e-6)"	"unprognostic (2.17e-1)"	"unprognostic (6.16e-2)"	"unprognostic (3.00e-3)"	"unprognostic (1.40e-4)"	"unprognostic (7.47e-2)"	"unprognostic (2.72e-2)"	"unprognostic (2.53e-1)"	"unprognostic (1.62e-1)"	"unprognostic (9.53e-2)"	"unprognostic (4.22e-2)"	"unprognostic (1.11e-3)"	"unprognostic (2.11e-1)"	"unprognostic (1.96e-1)"	"unprognostic (4.15e-1)"	"unprognostic (3.21e-2)"
TNNT2	"CMD1D, CMH2, CMPD2"	ENSG00000118194	"Troponin T2, cardiac type"	P45379	1	201359008-201377764	"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Muscle protein"	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	205	"heart muscle: 10670.6"	"Cell type enriched"	"Detected in some"	56	"Cardiomyocytes: 1054.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Sarcoma: 135.8;testis cancer: 61.2"	"Heart muscle - Cardiomyocytes, Kidney - Podocytes"	"Low region specificity"	"Detected in many"			"Region enhanced"	"Detected in some"		"cerebral cortex: 3.8"	"CAB015371, HPA015774, HPA017888"	Enhanced		Uncertain	"Nucleoplasm,Nucleoli,Focal adhesion sites,Microtubules"		No	No		57000		"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Nucleoplasm, Nucleoli"	"Focal adhesion sites, Microtubules"	"CAB015371: AB_630390, HPA015774: AB_1858354, HPA017888: AB_1858355"	"unprognostic (1.45e-1)"	"unprognostic (2.74e-1)"	"unprognostic (2.33e-4)"	"unprognostic (1.85e-1)"	"unprognostic (7.29e-2)"	"unprognostic (1.79e-1)"	"unprognostic (1.80e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.42e-1)"	"unprognostic (2.91e-2)"	"unprognostic (1.38e-1)"	"unprognostic (8.63e-2)"	"unprognostic (5.50e-3)"	"unprognostic (2.94e-1)"	"unprognostic (1.61e-1)"	"unprognostic (4.76e-2)"	"unprognostic (9.98e-2)"
NMRK2	"ITGB1BP3, MIBP, NRK2"	ENSG00000077009	"Nicotinamide riboside kinase 2"	Q9NPI5	19	3933103-3942416	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Pyridine nucleotide biosynthesis"	"Kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	116	"heart muscle: 1438.4;skeletal muscle: 634.8;tongue: 722.1"	"Cell type enriched"	"Detected in some"	10	"Cardiomyocytes: 1153.8"	"Cancer enhanced"	"Detected in some"		"renal cancer: 32.8;testis cancer: 13.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"liver cancer: 2.8;skin cancer: 5.1;testis cancer: 6.2"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA049909, HPA054792, HPA072450"	Approved		Enhanced	Nucleoplasm,Vesicles		NA	NA				"Cluster 38: Heart - Muscle contraction"	"Cluster 16: Skin cancer - Melanocyte processes"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Nucleoplasm	Vesicles	"HPA049909: , HPA054792: AB_2682601, HPA072450: AB_2686522"				"unprognostic (3.61e-1)"	"unprognostic (5.92e-2)"	"unprognostic (1.18e-2)"		"unprognostic (2.54e-1)"	"unprognostic (1.03e-1)"	"unprognostic (7.61e-2)"		"unprognostic (3.30e-2)"	"prognostic favorable (1.19e-4)"	"unprognostic (1.72e-1)"	"unprognostic (3.29e-2)"	"unprognostic (5.38e-1)"	
FBXO40	"Fbx40, KIAA1195"	ENSG00000163833	"F-box protein 40"	Q9UH90	3	121593379-121630295	"Plasma proteins, Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	97	"heart muscle: 90.4;skeletal muscle: 162.2;tongue: 100.3"	"Cell type enriched"	"Detected in some"	20	"Cardiomyocytes: 517.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Region enhanced"	"Detected in some"		"pons and medulla: 1.7"	"Low region specificity"	"Detected in many"									NA	NA			"Cluster 49: Eosinophils - Unknown function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 77: Cardiomyocytes - Muscle contraction"				"unprognostic (1.67e-2)"	"unprognostic (1.23e-4)"			"unprognostic (9.17e-2)"	"unprognostic (6.65e-2)"	"unprognostic (2.62e-1)"	"unprognostic (1.43e-2)"	"unprognostic (1.22e-1)"	"unprognostic (7.01e-2)"	"unprognostic (2.91e-1)"	"unprognostic (2.50e-1)"	"unprognostic (3.48e-2)"	"unprognostic (1.01e-1)"	"unprognostic (4.14e-1)"		"unprognostic (4.30e-2)"
MYL2	CMH10	ENSG00000111245	"Myosin light chain 2"	P10916	12	110910819-110921443	"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Motor protein, Muscle protein, Myosin"	"Cardiomyopathy, Disease variant, Myofibrillar myopathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	72	"heart muscle: 27910.5;skeletal muscle: 28967.7;tongue: 19823.2"	"Cell type enriched"	"Detected in some"	7	"Cardiomyocytes: 26504.8"	"Group enriched"	"Detected in some"	46	"head and neck cancer: 31.5;prostate cancer: 25.5"	"Region enriched"	"Detected in some"	6	"hypothalamus: 6.0"	"Group enriched"	"Detected in some"	12	"memory B-cell: 1.1;naive B-cell: 1.2"	"Lineage enriched"	"Detected in single"	12	"B-cells: 1.2"	"Cancer enriched"	"Detected in some"	12	"Rhabdoid: 57.3"	"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA019763, HPA039262"	Supported		Uncertain	Microtubules		NA	NA		180000	"Cluster 19: B-cells - Humoral immune response"	"Cluster 38: Heart - Muscle contraction"	"Cluster 40: Non-specific - Enzymes"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Microtubules		"HPA019763: AB_1854243, HPA039262: AB_2676418"	"unprognostic (2.07e-2)"	"unprognostic (1.37e-1)"		"unprognostic (1.39e-1)"		"prognostic unfavorable (2.60e-4)"		"unprognostic (1.32e-1)"	"unprognostic (4.05e-2)"	"unprognostic (4.82e-2)"	"unprognostic (2.05e-2)"	"unprognostic (2.20e-1)"		"unprognostic (1.76e-1)"	"unprognostic (2.84e-1)"	"unprognostic (3.55e-1)"	
MYH7	"CMD1S, CMH1, MPD1"	ENSG00000092054	"Myosin heavy chain 7"	P12883	14	23412740-23435660	"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Actin-binding, Calmodulin-binding, Motor protein, Muscle protein, Myosin"	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	71	"heart muscle: 7569.2;skeletal muscle: 14554.3;tongue: 5378.8"	"Cell type enriched"	"Detected in some"	31	"Cardiomyocytes: 13557.3"	"Group enriched"	"Detected in some"	9	"head and neck cancer: 12.2;prostate cancer: 15.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in many"							"HPA001239, HPA001349, CAB015384"	Enhanced		Uncertain	"Focal adhesion sites"		NA	NA		43000000		"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Focal adhesion sites"		"CAB015384: AB_2147279, HPA001239: AB_1079438, HPA001349: AB_1079437"	"unprognostic (6.49e-2)"	"unprognostic (8.27e-5)"	"unprognostic (1.56e-1)"	"unprognostic (3.04e-3)"	"unprognostic (4.30e-1)"	"unprognostic (7.33e-3)"		"unprognostic (8.60e-2)"	"unprognostic (1.55e-1)"	"unprognostic (1.31e-1)"	"unprognostic (1.22e-1)"	"unprognostic (3.79e-1)"	"unprognostic (5.38e-3)"	"unprognostic (2.32e-1)"	"unprognostic (1.20e-1)"	"unprognostic (1.41e-1)"	"unprognostic (2.28e-2)"
